"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU3186" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU2603" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2602" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2564" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2559" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2660" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2657" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2628" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2640" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Corynebacteriaceae" "Corynebacterium" "Unassigned"
"OTU2478" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2487" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU2527" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2513" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Unassigned" "Unassigned"
"OTU2802" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2797" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2915" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU2934" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Unassigned" "Unassigned"
"OTU2938" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU2868" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2889" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2695" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU2687" "Bacteria" "Firmicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU2735" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU537" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU538" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Clostridium_XI" "Unassigned"
"OTU525" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU603" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU516" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU547" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU544" "Bacteria" "Firmicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU569" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Clostridium_XI" "Unassigned"
"OTU426" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU432" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Ralstonia" "Unassigned"
"OTU419" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter" "Unassigned"
"OTU393" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU416" "Bacteria" "Firmicutes" "Clostridia" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU465" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU484" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU461" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVb" "Unassigned"
"OTU442" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU739" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU809" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU770" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU654" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Unassigned" "Unassigned"
"OTU647" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Eisenbergiella" "Unassigned"
"OTU646" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Akkermansia" "Unassigned"
"OTU642" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU678" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Barnesiella" "Unassigned"
"OTU691" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU176" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Paraprevotella" "Unassigned"
"OTU186" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVb" "Unassigned"
"OTU185" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Unassigned" "Unassigned"
"OTU183" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales_Incertae_Sedis_XI" "Gemella" "Unassigned"
"OTU152" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU138" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "Unassigned"
"OTU136" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU146" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU139" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Clostridium_IV" "Unassigned"
"OTU143" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Unassigned" "Unassigned" "Unassigned"
"OTU230" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU211" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" "Unassigned"
"OTU237" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU235" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU233" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU193" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU204" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU35" "Bacteria" "Actinobacteria" "Actinobacteria" "Coriobacteriales" "Coriobacteriaceae" "Collinsella" "Unassigned"
"OTU30" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU29" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU44" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU39" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU38" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU22" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Gemmiger" "Unassigned"
"OTU15" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU7" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiracea_incertae_sedis" "Unassigned"
"OTU6" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU21" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU19" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU18" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU108" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU102" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" "Unassigned"
"OTU85" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU123" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Unassigned" "Unassigned"
"OTU121" "Bacteria" "Bacteroidetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU82" "Bacteria" "Proteobacteria" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU70" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Lactococcus" "Unassigned"
"OTU67" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Acidaminococcaceae" "Phascolarctobacterium" "Unassigned"
"OTU80" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU50" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU76" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU72" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU346" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter" "Unassigned"
"OTU342" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" "Unassigned"
"OTU354" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU352" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU341" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Dysgonomonas" "Unassigned"
"OTU324" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU377" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU369" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU267" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Unassigned" "Unassigned"
"OTU266" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" "Desulfovibrio" "Unassigned"
"OTU241" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" "Unassigned"
"OTU253" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiales_Incertae_Sedis_XI" "Anaerococcus" "Unassigned"
"OTU257" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Coprococcus" "Unassigned"
"OTU320" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Unassigned"
"OTU316" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Morganella" "Unassigned"
"OTU295" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptoniphilaceae" "Peptoniphilus" "Unassigned"
"OTU1355" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1385" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU1389" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU1394" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1260" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU1586" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1536" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Unassigned" "Unassigned" "Unassigned"
"OTU1537" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU1624" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU1611" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1442" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Akkermansia" "Unassigned"
"OTU1421" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1508" "Bacteria" "Firmicutes" "Negativicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU928" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU864" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU865" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU890" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Unassigned" "Unassigned" "Unassigned"
"OTU1220" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "Unassigned"
"OTU1073" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Erysipelotrichaceae_incertae_sedis" "Unassigned"
"OTU1079" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Haemophilus" "Unassigned"
"OTU2275" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU2225" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2204" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2179" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2479" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" "Unassigned"
"OTU2465" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2463" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Intestinibacter" "Unassigned"
"OTU2523" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "Unassigned"
"OTU2403" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2362" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1827" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1818" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1849" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU1877" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1929" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU1777" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" "Unassigned"
"OTU1694" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Murimonas" "Unassigned"
"OTU1681" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU1672" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU1769" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1743" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2045" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Unassigned" "Unassigned" "Unassigned"
"OTU1974" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Unassigned" "Unassigned" "Unassigned"
"OTU1947" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Unassigned" "Unassigned"
"OTU1962" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU1953" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU2010" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2013" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU3057" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU3044" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2955" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2967" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2933" "Bacteria" "Firmicutes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned"
"OTU3290" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" "Unassigned"
"OTU3170" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2658" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2688" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Megasphaera" "Unassigned"
"OTU2731" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Dialister" "Unassigned"
"OTU2713" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2572" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU2878" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2853" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Unassigned" "Unassigned" "Unassigned"
"OTU2863" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Streptococcus" "Unassigned"
"OTU2917" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Anaerostipes" "Unassigned"
"OTU2848" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2775" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2838" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2810" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU2807" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU2800" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU513" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridium_sensu_stricto" "Unassigned"
"OTU505" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Unassigned"
"OTU558" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Ruminococcus2" "Unassigned"
"OTU590" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Verrucomicrobiales" "Verrucomicrobiaceae" "Akkermansia" "Unassigned"
"OTU588" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Carnobacteriaceae" "Unassigned" "Unassigned"
"OTU570" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU587" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Unassigned" "Unassigned"
"OTU447" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU457" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Kocuria" "Unassigned"
"OTU497" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU493" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Aerococcaceae" "Abiotrophia" "Unassigned"
"OTU617" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU772" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas" "Unassigned"
"OTU741" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU787" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU660" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU658" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Lautropia" "Unassigned"
"OTU149" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU157" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Coprobacillus" "Unassigned"
"OTU113" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Turicibacter" "Unassigned"
"OTU103" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU101" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" "Unassigned"
"OTU127" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU120" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Intestinimonas" "Unassigned"
"OTU161" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU182" "Bacteria" "Actinobacteria" "Actinobacteria" "Coriobacteriales" "Coriobacteriaceae" "Slackia" "Unassigned"
"OTU177" "Bacteria" "Actinobacteria" "Actinobacteria" "Coriobacteriales" "Coriobacteriaceae" "Senegalimassilia" "Unassigned"
"OTU195" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU189" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU166" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Unassigned"
"OTU171" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Actinomyces" "Unassigned"
"OTU165" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU175" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Oscillibacter" "Unassigned"
"OTU174" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerotruncus" "Unassigned"
"OTU94" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU26" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Clostridium_XVIII" "Unassigned"
"OTU24" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Sutterellaceae" "Sutterella" "Unassigned"
