"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU3263" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU3183" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU3214" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcus" "Unassigned"
"OTU2624" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2620" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Roseburia" "Unassigned"
"OTU2711" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2717" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Unassigned" "Unassigned"
"OTU2683" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Unassigned"
"OTU2532" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU2514" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVa" "Unassigned"
"OTU2573" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Unassigned" "Unassigned"
"OTU2542" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2536" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2855" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2819" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2899" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
"OTU2909" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2896" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2894" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2753" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU2745" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU2726" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Unassigned"
"OTU2741" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Unassigned" "Unassigned" "Unassigned"
"OTU2786" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Faecalibacterium" "Unassigned"
"OTU545" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Porphyromonas" "Unassigned"
"OTU602" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Unassigned" "Unassigned" "Unassigned"
"OTU483" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Corynebacteriaceae" "Corynebacterium" "Unassigned"
"OTU441" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Prevotellaceae" "Prevotella" "Unassigned"
"OTU437" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Corynebacteriaceae" "Corynebacterium" "Unassigned"
"OTU514" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Unassigned" "Unassigned"
"OTU511" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Coprococcus" "Unassigned"
"OTU491" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Unassigned" "Unassigned"
