"G36144" "G36291" "G64946" "G65809" "G66142" "G66147" "G66652" "G68204" "G68397" "G68498" "G72911" "G73845"
"OTU147" 0 0 1 0 0 0 0 0 0 0 0 2
"OTU1472" 0 0 0 0 0 1 0 1 0 0 0 0
"OTU1473" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU1482" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU1486" 0 0 0 0 0 0 0 4 0 0 0 0
"OTU149" 0 0 0 1 0 340 0 0 0 0 0 0
"OTU15" 36 5 114 1 35 0 0 2 3 11 0 1
"OTU1508" 0 0 8 0 78 0 0 0 0 0 0 0
"OTU1514" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU152" 0 0 70 0 0 0 0 0 0 1 0 0
"OTU1526" 0 0 4 0 0 4 0 0 0 0 0 0
"OTU1530" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU1532" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU1534" 0 12 0 0 0 0 0 0 0 0 0 0
"OTU1536" 0 0 0 0 79 0 0 0 0 0 0 0
"OTU1537" 0 0 3 0 0 0 0 0 0 0 0 0
"OTU154" 0 0 0 0 0 0 0 0 0 0 0 1
"OTU1557" 0 0 0 0 1 0 0 0 0 0 0 0
"OTU1560" 0 0 0 0 0 1 0 1 0 0 0 0
"OTU1564" 0 0 0 0 0 0 2 0 0 0 0 6
"OTU157" 0 11 0 0 0 14 0 0 0 0 10 0
"OTU1578" 8 6700 1419 8 1807 4351 37 5 932 0 0 501
"OTU1579" 0 1 0 0 4 13 0 0 7 0 0 0
"OTU158" 0 0 0 1 0 0 0 0 4 0 0 5
"OTU1584" 0 0 0 0 0 0 0 0 0 1 2 0
"OTU1586" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU1588" 0 56 37 0 6 68 0 0 14 0 0 1
"OTU1589" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU159" 0 0 0 0 0 231 0 0 0 14 0 0
"OTU1595" 0 0 0 0 0 0 0 0 0 6 0 0
"OTU1596" 0 0 12 0 0 0 0 0 1 3 3 0
"OTU1597" 0 0 4 0 0 0 0 0 0 0 0 0
"OTU16" 142 151 30 370 80 2908 183 2647 82 746 2 77
"OTU1604" 0 0 0 0 0 0 0 5 0 2 0 0
"OTU161" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU1611" 0 0 15 0 0 0 0 0 0 0 0 0
"OTU1617" 0 7 0 1 0 0 0 0 0 0 0 0
"OTU1624" 1 3 0 0 2 4 0 0 0 2 0 0
"OTU163" 0 0 0 0 0 0 0 0 0 91 0 0
"OTU1639" 0 14 0 0 0 0 0 0 0 0 0 0
"OTU1648" 0 3 0 0 0 0 0 0 0 0 0 0
"OTU1649" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU165" 0 14 0 0 0 0 0 0 0 7 0 0
"OTU1657" 0 25 12 0 10 17 0 0 6 0 0 2
"OTU1659" 0 0 27 0 0 0 0 8 3 1 0 1
"OTU166" 0 0 31 0 41 0 0 0 0 2 0 0
"OTU1668" 0 0 0 0 0 18 0 26 7 52 0 0
"OTU167" 5 59 4 1 12 37 33 1 1 2 0 9
"OTU1670" 0 8 0 0 0 0 0 0 0 16 0 0
"OTU1672" 0 0 0 0 22 0 0 0 0 0 0 0
"OTU1678" 0 9189 0 0 0 0 0 0 0 1 0 0
"OTU1681" 0 0 0 0 5 2 0 0 0 0 0 0
"OTU1686" 0 0 20 0 0 0 0 0 0 4 0 0
"OTU1688" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU169" 0 7 0 0 0 0 0 0 0 1 0 0
"OTU1694" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU17" 6 605 1 0 636 2521 16 2103 845 341 9 0
"OTU171" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU172" 0 12 0 0 0 0 0 0 0 0 0 0
"OTU174" 0 81 136 0 8 0 0 0 0 6 0 0
"OTU1743" 0 1 0 0 3 0 0 0 3 0 0 2
"OTU175" 0 74 0 0 0 0 0 0 0 9 0 0
"OTU176" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU1762" 0 0 0 2 0 0 5 0 0 0 0 0
"OTU1763" 0 0 0 0 0 0 0 0 0 11 0 0
"OTU1764" 0 2 0 0 0 0 0 0 0 0 0 0
"OTU1766" 0 0 500 0 0 0 0 6 1 70 2 3
"OTU1767" 0 0 0 0 0 6 0 1 0 1 0 0
"OTU1769" 0 0 0 0 0 0 0 0 0 9 0 0
"OTU177" 0 0 0 0 294 0 0 0 0 0 0 0
"OTU1770" 0 0 0 0 0 3 0 4 0 0 0 0
"OTU1777" 0 0 0 0 0 0 0 0 0 0 0 1
"OTU1782" 0 0 0 0 0 1 0 0 3 0 2 0
"OTU1788" 0 0 0 17 1 0 0 0 0 0 0 0
"OTU179" 0 157 28 0 0 0 0 0 0 0 7 0
"OTU1793" 0 0 0 0 0 4 0 0 0 0 0 0
"OTU18" 0 6774 0 20 0 0 0 0 51 2 0 0
"OTU180" 0 0 0 0 0 0 0 0 0 111 0 0
"OTU1801" 0 0 4 0 8 0 0 66 3 0 0 0
"OTU1805" 0 15 18 0 5 40 0 0 10 0 0 0
"OTU181" 0 31 0 0 0 505 0 0 0 0 0 0
"OTU1818" 0 0 165 0 0 0 0 0 0 0 0 3
"OTU182" 0 0 13 0 0 0 0 0 0 0 0 0
"OTU1827" 0 0 2 0 0 0 0 0 0 0 0 0
"OTU183" 1 12 3 0 15 6 28 1 2 0 0 4
"OTU1839" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU184" 0 0 0 0 0 0 0 0 0 20 0 0
"OTU1849" 0 0 0 0 0 3 0 0 0 0 0 0
"OTU185" 0 0 0 0 0 20 0 0 0 0 0 3
"OTU1850" 0 0 0 0 0 4 0 0 0 0 0 0
"OTU1851" 0 1 0 0 0 20 0 0 0 0 0 0
"OTU186" 0 0 1 0 0 0 0 0 0 2 0 0
"OTU1862" 0 10 13 0 4 10 0 0 1 0 0 7
"OTU1866" 0 0 0 0 0 0 0 0 1 0 0 0
"OTU1876" 0 0 0 0 0 0 0 0 2 0 0 0
"OTU1877" 0 0 0 0 0 0 0 10 2 0 0 0
"OTU1880" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU189" 0 28 0 0 0 0 0 0 0 17 0 0
"OTU19" 34 765 105 2 162 2908 2 0 76 15 0 0
"OTU190" 0 0 0 0 1 5 0 0 0 150 0 0
"OTU1902" 0 0 0 0 0 6 0 0 0 0 0 0
"OTU1903" 0 0 0 0 0 3 0 0 0 0 0 0
"OTU1915" 0 0 0 0 0 0 0 2 0 0 0 0
"OTU1929" 0 0 0 0 0 0 0 6 0 0 0 0
"OTU193" 0 72 0 0 2 0 0 149 0 0 0 1
"OTU1934" 0 0 0 0 0 3 0 0 0 0 0 0
"OTU1935" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU1947" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU1948" 0 0 0 0 0 0 0 4 0 0 3 0
"OTU195" 0 11 0 0 0 0 0 0 0 0 0 0
"OTU1952" 0 0 0 0 0 0 0 0 0 17 0 0
"OTU1953" 0 0 0 0 0 0 0 0 0 0 1 0
"OTU196" 4 0 0 0 0 0 0 0 0 0 1 0
"OTU1962" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU1963" 0 0 2 0 0 0 0 0 0 0 0 0
"OTU1973" 0 0 3 0 0 0 0 0 0 0 0 0
"OTU1974" 0 0 0 0 0 0 0 2 0 0 0 0
"OTU1976" 0 0 0 0 1 53 0 0 0 0 2 0
"OTU1989" 3 0 0 0 0 0 0 0 0 0 0 0
"OTU199" 0 7 57 0 5 1 0 0 0 98 0 0
"OTU2" 3726 4220 1865 9826 25142 12491 15950 591 1234 1547 727 6739
"OTU20" 56 5 426 6 31 49 6 96 0 3411 8 64
"OTU2000" 0 0 0 0 0 0 0 0 0 10 0 0
"OTU2010" 0 0 2 0 0 0 0 0 0 0 0 0
"OTU2013" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU202" 0 27 0 0 0 0 0 0 0 5 0 0
"OTU2034" 0 0 0 0 53 3 0 0 0 13 0 0
