"G36144" "G36291" "G64946" "G65809" "G66142" "G66147" "G66652" "G68204" "G68397" "G68498" "G72911" "G73845"
"OTU2951" 0 0 0 0 0 0 0 1 0 1 0 0
"OTU2955" 0 0 19 0 0 0 0 0 0 3 1 0
"OTU2959" 0 0 0 0 0 0 0 0 0 11 0 0
"OTU2964" 0 0 0 0 0 3 0 0 0 0 0 0
"OTU2967" 0 0 0 0 0 10 0 1 1 4 0 0
"OTU2968" 0 0 2 0 1 1 0 0 2 0 0 0
"OTU2969" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU298" 0 76 0 0 0 0 0 0 0 0 0 0
"OTU2986" 0 2 0 0 4 0 0 1 5 2 0 0
"OTU299" 4 4 3 1 11 0 0 0 0 4 0 1
"OTU2999" 0 0 1 0 0 0 0 0 6 3 67 0
"OTU3" 34 1743 916 135 7397 19608 70 0 1062 0 243 316
"OTU30" 0 0 0 0 0 0 0 0 0 33887 0 0
"OTU3001" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU301" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU3036" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU304" 0 0 0 0 0 0 0 0 1 0 0 0
"OTU3044" 0 0 0 0 0 0 0 0 0 9 0 0
"OTU3045" 0 0 0 0 0 0 0 0 0 7 0 0
"OTU3053" 0 0 0 0 0 4 0 0 0 0 0 0
"OTU3057" 0 0 73 0 0 0 0 0 0 1 0 0
"OTU3058" 0 28 2 0 11 33 3 0 33 0 0 37
"OTU306" 0 0 0 0 0 0 0 0 0 0 0 2
"OTU3064" 0 3 0 0 0 0 0 0 0 0 0 0
"OTU3065" 0 0 0 0 0 33 0 0 0 0 0 0
"OTU3069" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU307" 0 3 14 0 0 0 0 0 0 3 0 0
"OTU3072" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU3077" 0 1 0 0 0 0 0 0 0 1 0 0
"OTU3079" 0 0 1 0 0 0 0 0 2 0 0 0
"OTU308" 1 0 4 0 4 0 0 7 4 2 1 0
"OTU3089" 0 0 0 0 0 0 0 0 0 5 0 0
"OTU309" 0 0 0 0 445 0 0 0 0 0 0 0
"OTU31" 0 29 3 25 199 0 19 2155 0 0 0 0
"OTU3117" 0 0 0 0 0 0 0 0 0 7 0 0
"OTU3121" 0 0 11 0 2 0 0 0 0 0 0 0
"OTU3128" 0 0 0 0 0 0 0 20 0 0 0 0
"OTU3136" 0 0 2 0 0 2 0 0 0 0 0 0
"OTU314" 0 7 22 0 0 0 0 0 0 0 0 0
"OTU315" 1 2 0 0 0 0 0 0 0 0 0 0
"OTU3150" 0 17 0 0 19 0 0 0 0 0 0 0
"OTU3155" 0 0 0 1 1 1 0 0 0 0 0 0
"OTU316" 0 0 14 0 0 0 0 0 0 0 0 0
"OTU3163" 36 0 0 0 0 0 6 0 0 6 0 4
"OTU3170" 0 1 0 0 25 5 0 0 3 1 0 0
"OTU3174" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU318" 0 0 0 0 0 0 0 0 0 50 0 0
"OTU3183" 0 8 0 0 0 26 0 0 0 0 0 0
"OTU3186" 0 0 0 0 0 0 0 0 0 11 0 0
"OTU3189" 0 0 0 0 0 0 0 0 0 0 1 0
"OTU32" 129 347 615 115 25 363 7 93 69 534 25 97
"OTU320" 0 0 0 1 0 0 0 0 0 0 0 0
"OTU3204" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU3206" 0 0 0 0 9 0 0 0 0 0 0 0
"OTU3214" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU3215" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU3229" 0 0 57 0 0 0 0 0 0 0 0 0
"OTU323" 2 0 0 0 0 0 0 2 0 0 0 0
"OTU324" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU3251" 0 0 0 0 0 0 0 0 0 0 1 0
"OTU326" 0 0 0 0 1 21 0 0 0 0 0 2
"OTU3263" 2 0 0 0 0 0 0 0 0 0 0 0
"OTU3290" 0 0 0 0 0 0 0 1 0 0 0 0
"OTU33" 37 38 706 4 50 87 64 11 0 683 2 124
"OTU3312" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU3314" 0 0 13 0 0 0 0 0 0 0 0 0
"OTU3317" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU3345" 0 0 0 0 0 0 0 0 0 5 0 0
"OTU34" 2 811 24 1 42 472 5 1 26 3380 91 0
"OTU341" 0 0 2 0 0 0 0 0 0 0 0 0
"OTU342" 76 0 0 0 1 0 6 0 33 0 0 273
"OTU344" 9 0 0 0 0 12 0 0 0 3 2 2
"OTU345" 4 0 0 0 0 0 3 0 0 0 0 0
"OTU346" 0 3 0 0 0 0 0 0 0 0 0 0
"OTU347" 0 0 0 0 0 0 0 0 0 20 0 0
"OTU35" 0 1496 1 634 3140 0 7 0 0 4 0 0
"OTU352" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU354" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU357" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU36" 308 317 777 1 169 365 0 75 40 20 152 3
"OTU369" 0 13 0 0 0 0 0 0 0 0 0 0
"OTU37" 7 1 0 0 0 0 0 1 0 0 0 0
"OTU374" 0 0 0 0 0 0 0 0 0 0 0 2
"OTU377" 0 0 0 0 1 0 0 2 2 0 0 0
"OTU38" 3 0 1 0 11 0 0 1 1 0 0 0
"OTU384" 0 0 0 0 0 2 0 0 2 2 0 0
"OTU386" 0 0 0 0 5 0 0 0 0 0 0 0
"OTU387" 0 10 0 0 0 0 0 0 0 0 0 0
"OTU39" 86 117 3568 5 0 526 4 10 38 73 0 0
"OTU393" 0 1 0 9 0 0 0 0 0 14 493 0
"OTU4" 173 1446 4446 1 9 2 0 19 238 1283 801 382
"OTU40" 0 82 384 0 60 0 0 162 14 85 23 0
"OTU400" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU402" 0 0 0 0 0 0 0 0 0 7 0 0
"OTU41" 0 0 0 0 0 0 1 0 0 0 0 0
"OTU411" 0 0 0 0 0 0 0 0 0 25 0 0
"OTU416" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU419" 0 0 0 0 0 0 3 0 0 0 0 0
"OTU42" 2031 0 0 0 8 0 0 0 5 5 4 0
"OTU426" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU43" 252 140 1 6 3 603 0 89 0 15 7 0
"OTU432" 0 0 0 0 20 0 0 0 0 0 0 12
"OTU437" 0 0 0 0 4 0 0 0 0 0 0 0
"OTU438" 0 0 1 18107 0 0 0 0 0 0 0 0
"OTU44" 60 0 35 1156 3 0 31 0 0 0 0 5
"OTU441" 0 0 0 0 0 0 0 2 0 0 0 0
"OTU442" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU444" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU447" 0 0 0 0 0 13 0 0 0 0 0 0
"OTU45" 0 0 29 2 0 0 9 0 75 2400 0 0
"OTU457" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU46" 4 494 81 0 18 0 0 0 0 430 0 1
"OTU460" 0 0 0 0 0 0 4 0 0 2 0 0
"OTU461" 0 0 0 0 0 0 0 0 0 21 0 0
"OTU465" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU467" 0 0 0 0 0 0 1 0 0 0 0 0
"OTU47" 0 0 1944 0 35186 1 0 0 0 0 0 4903
"OTU479" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU48" 4 27 2 0 15 3336 0 294 620 1018 0 0
"OTU483" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU484" 0 0 0 0 0 27 0 0 0 0 0 0
"OTU486" 8391 2 4 1 3 0 17 42 1 313 0 0
"OTU49" 2 0 6735 1 238 3 0 0 0 3898 0 728
"OTU491" 0 0 0 0 0 0 0 0 0 2 0 0
"OTU493" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU497" 4 0 0 0 0 0 0 0 0 0 0 0
"OTU5" 751 1 30 6 444 2298 82 80 62 4 15 745
"OTU50" 0 0 0 4 0 0 0 0 0 0 0 0
"OTU500" 0 0 0 0 0 0 1 0 0 0 0 0
"OTU501" 0 3 1 0 0 0 0 0 0 0 0 0
"OTU503" 0 0 135 0 15 30 0 0 0 0 0 0
"OTU505" 0 1 0 0 0 0 0 0 0 466 28 0
"OTU508" 0 0 1 0 0 5 0 0 0 0 0 0
"OTU51" 2 121 0 0 61 1751 1 0 0 26 531 0
"OTU511" 0 338 0 0 0 400 4 0 0 0 0 0
"OTU513" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU514" 0 0 0 0 0 0 0 0 0 11 0 0
"OTU515" 0 0 0 0 2 0 0 0 0 0 0 0
"OTU516" 88 0 1 0 3 8 43 3 39 3 0 24
"OTU52" 1 1 4 1 12 760 0 380 0 29 13 0
"OTU525" 0 104 0 0 0 0 0 0 0 287 0 0
"OTU529" 0 2 0 0 0 0 0 0 0 0 0 0
"OTU53" 80 70 64 25 38 0 0 11 4 37 6 31
"OTU537" 0 0 4 0 0 0 0 0 0 5 0 0
"OTU538" 0 2 4 0 0 0 0 10 27 1 9 0
"OTU54" 14 1595 0 0 33 0 0 0 0 0 127 0
"OTU543" 3 0 0 0 0 0 0 0 0 0 0 0
"OTU544" 0 0 0 0 0 0 0 0 0 3 0 0
"OTU545" 0 2 0 0 0 0 0 0 0 0 0 1
"OTU547" 158 54 80 0 54 1097 21 0 332 2552 1 0
"OTU55" 0 232 0 11 3 1198 19 0 0 968 0 0
"OTU558" 0 296 30 0 3 134 2 0 3 161 0 0
"OTU56" 434 4 6 0 0 2 0 0 0 0 8 0
"OTU569" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU570" 0 0 0 3 0 0 45 0 0 0 0 0
"OTU58" 18 80 1 19 300 13 0 7 4 168 1 43
"OTU587" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU588" 0 2 3 0 5 13 5 0 4 0 0 2
"OTU59" 0 2 42 0 0 0 3 17 1 0 0 0
"OTU590" 0 0 0 0 0 0 1 0 0 0 0 129
"OTU6" 415 924 2214 39 756 2238 85 4675 749 2661 59 5
"OTU60" 1 62 0 106 1 162 4 0 0 1459 0 0
"OTU602" 0 88 71 0 1401 149 1 0 0 0 12 0
"OTU603" 38 0 0 0 0 0 0 0 0 0 0 0
"OTU61" 0 2386 1 1 11 2206 0 0 1 5 17 0
"OTU612" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU614" 1 2 0 0 0 10 0 1 0 0 0 1
"OTU617" 160 2 1 0 10 182 7 58 78 0 2 143
"OTU62" 2 8 0 0 0 969 0 23 0 483 182 0
"OTU628" 0 0 0 0 0 0 1 0 0 0 0 0
"OTU63" 0 953 0 0 55 0 0 0 0 0 0 0
"OTU633" 0 1 0 0 0 6 0 0 1 0 0 0
"OTU64" 0 0 0 0 9 2125 0 1609 0 0 0 0
"OTU640" 0 0 0 0 0 0 0 0 0 5 0 0
"OTU642" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU646" 95 0 0 0 0 0 0 0 0 0 0 1
"OTU647" 0 0 0 0 0 0 0 0 3 0 0 0
"OTU65" 1 0 0 0 7 0 2 0 0 406 1 0
"OTU654" 0 0 0 0 0 1 0 0 0 0 0 0
"OTU658" 0 2 0 0 0 0 0 0 0 0 0 0
"OTU66" 0 1 0 0 0 0 0 0 0 0 65 0
"OTU660" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU67" 1 0 0 0 0 0 0 0 0 0 0 0
"OTU678" 0 0 0 0 101 0 0 0 0 0 0 0
"OTU679" 0 0 0 0 0 0 0 0 4 0 0 0
"OTU68" 0 199 1 7 5 1691 0 0 0 0 134 0
"OTU69" 0 56 222 6 0 571 4 0 47 139 50 0
"OTU691" 0 30 0 0 60 0 0 0 0 0 0 0
"OTU7" 234 32 2419 1 1743 663 10 1703 84 57 20 55
"OTU70" 25 0 2 41 4170 0 0 0 11 1 0 12
"OTU701" 0 22 0 0 0 0 0 0 0 3 6 0
"OTU71" 0 0 0 1 0 0 0 0 0 0 0 0
"OTU710" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU713" 0 0 0 8 11 25 3 0 10 0 52 4
"OTU72" 0 21 0 0 0 0 0 0 54 63 0 0
"OTU73" 0 55 54 0 6 0 0 0 10 6 4 0
"OTU739" 0 0 0 0 0 0 0 0 0 0 0 2
"OTU74" 120 65 889 0 18 366 0 111 16 0 4 2
"OTU741" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU744" 0 0 0 1 0 1 1 0 0 0 0 0
"OTU75" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU752" 0 97 0 0 0 0 0 0 0 0 0 0
"OTU755" 0 0 0 0 0 4 0 0 0 19 0 0
"OTU76" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU760" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU764" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU77" 0 99 0 1 0 0 0 0 0 62 0 0
"OTU770" 0 11 0 0 0 0 0 0 0 2 0 0
"OTU772" 0 2 0 0 0 0 0 0 0 0 0 0
"OTU78" 0 135 0 0 0 0 0 0 0 0 0 0
"OTU787" 0 0 0 0 0 0 0 0 0 7 0 0
"OTU79" 0 0 0 1 0 0 0 0 0 0 22 0
"OTU791" 0 0 107 0 0 3 0 0 0 0 0 0
"OTU795" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU796" 0 0 0 0 0 0 0 0 0 6 0 0
"OTU8" 66 0 46 3 170 1 1 11989 614 3 0 401
"OTU80" 0 0 1 0 179 0 0 0 0 0 0 0
"OTU808" 0 0 0 3 0 0 0 0 0 0 0 0
"OTU809" 0 95 0 2 287 697 2 0 61 30 0 3
"OTU81" 0 1 0 0 0 0 0 0 0 0 0 0
"OTU814" 0 0 0 0 0 22 0 7 0 0 0 0
"OTU815" 0 0 0 0 0 11 0 0 0 3 0 0
"OTU82" 0 0 0 0 0 0 0 0 0 1 0 0
"OTU83" 0 0 0 0 5 1 0 0 0 0 17 0
"OTU830" 0 0 33 0 1 0 0 0 0 0 0 0
"OTU84" 0 0 0 0 3 413 0 0 0 0 0 0
"OTU845" 0 0 0 0 0 0 0 0 0 10 0 0
"OTU85" 0 47 1 4 0 0 0 0 0 8 0 0
"OTU86" 0 247 0 0 0 0 1 0 29 31 0 0
"OTU864" 218 0 31 0 0 0 0 0 0 0 0 0
"OTU865" 0 18 0 0 0 0 0 0 0 0 0 0
"OTU87" 1 23 0 0 2 807 31 0 0 0 0 0
"OTU871" 0 1847 1 0 1 0 0 1 0 2605 0 0
"OTU874" 0 0 502 0 0 0 0 0 0 76 2 12
"OTU876" 0 0 0 0 0 0 0 0 0 3 0 2
"OTU88" 352 22 0 0 192 8 0 1 147 0 0 96
"OTU887" 0 0 2 0 0 0 0 0 0 3 0 0
"OTU89" 0 317 171 0 0 0 5 0 0 2688 0 26
"OTU890" 1 4 33 1 11 32 13 3 2 3 0 3
"OTU899" 0 0 0 0 0 0 0 0 0 4 0 0
"OTU9" 1182 2054 112 12 4111 1706 61 1482 455 336 303 0
"OTU90" 1 0 1 0 35 0 0 0 0 0 1 0
"OTU900" 1 3 0 0 9 0 0 0 0 0 0 0
"OTU91" 4 27 0 0 429 557 0 0 0 113 0 0
"OTU928" 0 292 0 0 2 0 0 0 0 0 0 0
"OTU93" 0 2 0 7 0 0 0 0 0 0 0 0
"OTU94" 0 95 1 1 2 0 0 0 8 11 1 0
"OTU95" 0 0 0 2 3226 0 0 0 0 0 0 0
"OTU951" 0 0 0 0 135 0 0 0 0 0 0 0
"OTU956" 2 0 1 0 5 9 0 1 0 2 0 0
"OTU96" 25 44 42 7 66 121 97 31 16 11 0 29
"OTU97" 0 0 0 3 0 154 0 3 400 3322 0 0
"OTU975" 0 0 0 0 0 2 0 0 0 0 0 0
"OTU976" 4 0 0 0 0 0 0 0 0 0 0 0
"OTU98" 0 281 0 0 0 0 0 0 0 0 0 0
"OTU99" 0 0 0 0 0 0 0 0 1 0 0 0
"OTU990" 0 0 1 0 0 0 0 0 0 0 0 0
"OTU993" 0 0 0 0 6 0 0 0 0 0 0 0
"OTU998" 0 9 12 0 0 0 0 0 0 9 0 0
